Công ty Cổ phần Bến xe Hà Nội ,HNB
Công ty Cổ phần Tập đoàn Hòa Phát,HPG
Công ty cổ phần cà phê Thuận An,TAN
Công ty Cổ phần Kim khí Miền Trung ,KMT
Công ty Cổ phần Nam Việt ,NAV
Công ty Cổ phần In sách Giáo Khoa Hòa Phát,HTP
Công ty Cổ phần Everpia,EVE
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,POV
Công ty Cổ phần Nhiệt điện Ninh Bình,NBP
Quỹ ETF MAFM VNDIAMOND,FUEMAVND
Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty cổ phần,PEG
Công ty Cổ phần Cơ khí Điện lực,PEC
CÔNG TY CỔ PHẦN VINAM,CVN
Tổng công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,HEJ
Công ty Cổ phần Container Miền Trung,VSM
Công ty cổ phần Cấp nước Quảng Bình,NQB
Công ty Cổ phần Beton 6,BT6
Công ty Cổ phần MT GAS,MTG
Công ty cổ phần Tin học Viễn thông Petrolimex,PIA
Công ty cổ phần Đường sắt Vĩnh Phú,DSV
Công ty cổ phần Cẩm Hà,CHC
Công ty Cổ phần Thuốc sát trùng Cần Thơ,CPC
Công ty Cổ phần đầu tư và xây dựng cấp thoát nước,VSI
Công ty Cổ phần Nước sạch Bắc Giang,BGW
Ngân hàng TMCP Bản Việt,BVB
Công ty Cổ phần Vận tải biển Hải Âu,SSG
Công ty cổ phần Dệt May 7,DM7
Công ty cổ phần Đầu tư Phát triển nhà HUD2,HD2
Công ty Cổ phần Xăng dầu Dầu khí Phú Yên,PPY
CÔNG TY CỔ PHẦN THIẾT BỊ,MA1
Công ty Cổ phần Kinh doanh Than miền Bắc - Vinacomin,TMB
Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,AGX
Công ty Cổ phần Xây dựng và chế biến lương thực Vĩnh Hà,VHF
Công ty Cổ phần Tập đoàn ASG,ASG
Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,DDG
Công ty cổ phần bảo vệ thực vật 1 Trung Ương,BT1
Công ty Cổ phần Hóa chất Việt Trì,HVT
Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc,IDV
Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,HBC
Công ty Cổ phần Bất động sản Thế kỷ,CRE
Công ty Cổ phần xây dựng - địa ốc cao su ,RCD
Công ty Cổ phần Xây dựng số 3 Hải Phòng,HC3
Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,BNA
Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung,TTZ
Ngân hàng Thương mại cổ phần Tiên Phong,TPB
Công ty Cổ phần Du lịch Dầu khí Phương Đông,PDC
Công ty Cổ phần Dịch vụ Sonadezi ,SDV
Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,PXT
Công ty cổ phần VIWACO,VAV
Công ty cổ phần Thủy điện Sử Pán 2,SP2
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TNS HOLDINGS,TN1
Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI,APL
Công ty Cổ phần Tập đoàn FLC,FLC
Công ty cổ phần Tập đoàn Thủy sản Minh Phú,MPC
Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,GIC
Công ty Cổ Phần VIMC LOGISTICS,VLG
CÔNG TY CỔ PHẦN TỔNG CÔNG TY TRUYỀN HÌNH CÁP VIỆT NAM,CAB
Công ty Cổ phần Thép Nam Kim,NKG
Công ty Cổ phần Gạch Men Chang Yih ,CYC
Công ty Cổ phần vận tải và tiếp vận Phương Đông Việt,PDV
Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,G20
Công ty Cổ phần Mía đường Sơn La ,SLS
Công ty cổ phần tập đoàn TNT,TNT
Công ty Cổ phần Đầu tư và Phát triển TDT,TDT
Công ty Cổ phần Đại lý Hàng hải Việt Nam,VSA
Công ty Cổ phần Tổng Công ty Cổ phần Địa Ốc Sài Gòn,SGR
Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,BMD
